isbn,title,author,publisher,price,wholesaler_name,purchase_type,quantity,unit_cost,received_date,consignment_deadline
'9789343395042,資本主義大全,三浦茜,銀河出版社,1470,トーハン,委託,1,994,2026-07-09,2026-11-01
'9784634954007,蒼穹のクロニクル 第16巻,朝比奈 蒼,丘上館,590,トーハン,買切,8,403,2026-07-13,
'9780332274294,灰色ドミノ 第13巻,高橋浩二,翠嵐出版社,650,トーハン,買切,13,393,2026-05-01,
'9789602207635,刀と花 第5巻,小林杏,翠嵐舎,440,日販,買切,16,315,2026-06-29,
'9786971624278,10分でわかる人的資本経営,西村大輔,翠嵐堂,1860,日販,買切,6,1264,2026-05-27,
'9786841252334,静かな旅の肖像,井上誠,若草出版社,690,地方・小出版流通センター,買切,5,498,2026-05-18,
'9788511561401,忘れられた港の秘密,林楓,丘上出版社,750,大阪屋栗田,委託,2,559,2026-06-17,2026-08-27
'9781773230672,灰色ドミノ 第11巻,西村さくら,銀河出版社,650,トーハン,委託,12,445,2026-05-11,2026-08-25
'9786886396758,屋久島、季節の情景,夜守 湊,陽光舎,2930,日販,買切,9,1976,2026-06-13,
'9789373697987,今日からできる発酵食,堀内涼,白鷺出版,1590,日販,委託,13,1176,2026-05-10,2026-08-29
'9783106951117,プレゼン術大全,田中涼,茜色出版社,1580,地方・小出版流通センター,委託,15,1179,2026-05-22,2026-08-22
'9783881618397,潮騒ノート 第5巻,林さくら,白鷺文庫,650,大阪屋栗田,買切,6,473,2026-05-12,
'9788343758352,気候変動の謎,橋本杏,朝霧出版,1120,地方・小出版流通センター,委託,12,763,2026-05-15,2026-10-25
'9788225489848,遠い鍵の始まり,風間 碧,銀河舎,910,トーハン,買切,1,577,2026-05-11,
'9789262660030,ふくろうと虹色の傘の冒険,青木真央,朝霧出版,1150,トーハン,買切,13,832,2026-07-02,
'9783903100466,令和幽霊譚 第3巻,月城 湊,朝霧出版,480,地方・小出版流通センター,委託,20,315,2026-07-01,2026-09-29
'9784570935399,ぬか漬けの基本,加藤翔太,茜色出版社,1280,トーハン,買切,6,805,2026-05-05,
'9788193781135,毎日の常備菜レシピ,高橋詩織,翠嵐出版社,1680,地方・小出版流通センター,買切,12,1178,2026-05-08,
'9781918092615,できる人のチーム運営,木村美咲,蒼穹堂,1890,トーハン,買切,12,1148,2026-07-02,
'9788056264379,潮騒ノート 第13巻,柴田詩織,銀河舎,680,大阪屋栗田,買切,14,446,2026-04-16,
'9789989925665,生成AI活用大全,清水陽子,清流出版社,1880,大阪屋栗田,委託,15,1258,2026-07-11,2026-10-28
'9783968517766,一気にわかる日本史,藤井花子,蒼穹堂,880,日販,委託,15,642,2026-05-13,2026-08-03
'9783680819209,深夜の橋の秘密,堀内栞,緑陰出版,700,日販,買切,9,502,2026-06-14,
'9780468703644,能登を歩く,遠藤詩織,蒼穹書房,4040,大阪屋栗田,買切,16,2557,2026-05-21,
'9787651449693,砂上のグランドライン 第5巻,斎藤蒼,蒼穹堂,510,大阪屋栗田,買切,2,358,2026-06-04,
'9781397520135,今日からできる収納術,山田栞,白鷺文庫,1610,日販,買切,9,1183,2026-05-20,
'9784294724262,潮騒ノート 第8巻,山田悠真,翠嵐館,550,トーハン,買切,15,411,2026-05-04,
'9784797331691,2025年度版 簿記3級 完全対策,林凛,丘上館,1680,大阪屋栗田,買切,9,1026,2026-05-17,
'9788324985593,はじめての筋トレ,村上詩織,清流出版,1280,日販,委託,16,800,2026-06-18,2026-11-05
'9787885246860,筋トレの基本,近藤凛,陽光舎,1480,日販,買切,14,933,2026-04-28,
'9787900939586,英検準1級 完全対策,藤田大輔,清流出版,2370,地方・小出版流通センター,委託,5,1712,2026-04-20,2026-06-23
'9781737673965,影絵の国のアリス 第3巻,霧島 湊,満月舎,640,日販,買切,4,423,2026-05-25,
'9789009168188,図解 DX戦略入門,田中涼,陽光舎,1530,トーハン,買切,7,1035,2026-05-04,
'9789071931406,哲学全史,青木一郎,清流出版社,880,トーハン,委託,10,617,2026-05-28,2026-09-13
'9781378977422,会計の教科書,井上隆,緑陰出版,1420,トーハン,買切,10,925,2026-05-06,
'9785877524620,2027年度版 英検1級 完全対策,前田蒼,青葉館,1740,大阪屋栗田,買切,1,1236,2026-06-16,
'9789479660076,図解 行動心理学入門,山口陸,銀河出版,1720,日販,買切,10,1198,2026-05-17,
'9789103638518,天文学全史,佐藤陸,丘上館,930,地方・小出版流通センター,買切,16,602,2026-04-16,
'9786148022111,副業戦略大全,霧島 楓,緑陰出版,1850,トーハン,買切,12,1271,2026-05-03,
'9783515612043,名もなき庭の行方,加藤湊,翠嵐館,940,地方・小出版流通センター,買切,18,625,2026-06-15,
'9784485406885,きつねと星空のものがたり,菅原蒼太,銀河舎,1200,日販,買切,5,840,2026-06-11,
'9788871025124,百鬼夜行堂 第16巻,霧島 湊,翠嵐舎,470,地方・小出版流通センター,委託,5,323,2026-06-21,2026-10-19
'9780275271398,毎日のパン作りレシピ,月城 楓,緑陰出版,1480,トーハン,買切,7,936,2026-05-01,
'9785086530191,副業戦略の教科書,星野 湊,朝霧出版社,1550,大阪屋栗田,買切,15,1063,2026-04-29,
'9788934709442,2026年度版 ITパスポート試験 完全対策,藤田美咲,丘上出版社,1930,地方・小出版流通センター,委託,16,1215,2026-05-18,2026-09-25
'9781842244562,パン作りの基本,林隆,茜色出版社,1350,日販,買切,11,1010,2026-06-09,
'9787886356575,もぐらと小さな灯りのひみつ,山本涼,青葉館,1240,地方・小出版流通センター,買切,5,824,2026-05-03,
'9786374155355,統計検定2級 完全対策,近藤大輔,満月舎,1990,地方・小出版流通センター,買切,16,1370,2026-04-17,
'9787182902865,冬の日の港の秘密,藤田翔太,翠嵐堂,650,トーハン,買切,4,418,2026-06-10,
'9783013613245,忘れられた花束の行方,冬野 帳,満月舎,800,トーハン,買切,12,551,2026-05-14,
'9788755850422,たぬきと願いの種のものがたり,近藤悠真,白鷺文庫,1390,大阪屋栗田,買切,19,1014,2026-04-15,
'9781860330407,十六夜のバトン 第7巻,霧島 紬,満月舎,450,トーハン,委託,8,290,2026-05-10,2026-06-30
'9782305036281,忘れられた傘の地図,村上誠,若草出版社,760,地方・小出版流通センター,買切,19,504,2026-06-12,
'9784337664753,ねこと虹色の傘のものがたり,水無月 律,銀河出版社,1470,大阪屋栗田,委託,16,1036,2026-06-25,2026-10-19
'9781138683136,眩しい花束の迷宮,前田結衣,翠嵐舎,600,日販,買切,16,365,2026-06-17,
'9783545457461,青の音符 第12巻,清水誠,翠嵐館,620,地方・小出版流通センター,委託,14,416,2026-06-30,2026-11-12
'9787466135095,令和幽霊譚 第15巻,西村花子,緑陰出版,520,大阪屋栗田,買切,9,331,2026-05-26,
'9780220371166,誰も知らない港の地図,橋本大輔,朝霧出版,850,大阪屋栗田,委託,11,552,2026-04-21,2026-08-07
'9787728384230,北海道を歩く,三浦楓,白鷺出版,3680,日販,買切,11,2708,2026-06-08,
'9789881589439,はるかな喫茶店の行方,佐藤栞,白鷺文庫,740,トーハン,委託,14,521,2026-05-01,2026-07-07
'9784986339163,2025年度版 登録販売者試験 完全対策,青木結衣,青葉出版社,1800,大阪屋栗田,買切,12,1224,2026-07-01,
'9788148779316,西表島、季節の情景,石川涼,白鷺出版,2760,日販,買切,15,1941,2026-04-22,
'9783147841088,図解でわかる世界経済,風間 湊,蒼穹書房,970,大阪屋栗田,買切,6,646,2026-05-01,
'9784406121958,FP技能検定3級 完全対策,井上浩二,白鷺文庫,2140,大阪屋栗田,買切,14,1498,2026-06-05,
'9788464107657,青の音符 第14巻,伊藤由美,白鷺出版,530,大阪屋栗田,買切,17,330,2026-07-14,
'9789224818592,奥飛騨紀行 写真集,月城 碧,銀河出版社,2770,トーハン,委託,2,2028,2026-05-18,2026-09-12
'9789514347962,眩しい本屋の始まり,石川一郎,丘上館,770,トーハン,買切,11,552,2026-05-21,
'9782400017864,小笠原諸島、季節の情景,遠藤美咲,翠嵐舎,3760,地方・小出版流通センター,委託,1,2782,2026-05-20,2026-07-29
'9786139975020,深海探偵局 第5巻,斎藤隆,朝霧出版,630,地方・小出版流通センター,買切,9,429,2026-06-27,
'9789166035521,誰も知らない手紙のノート,木村葵,満月舎,730,地方・小出版流通センター,買切,9,473,2026-05-01,
'9784717909771,令和幽霊譚 第9巻,高橋真央,清流出版社,590,日販,買切,6,377,2026-04-16,
'9787774871555,小さな鍵の迷宮,藤井真央,白鷺出版,900,日販,買切,2,581,2026-05-21,
'9787085488534,毎日の刺繍レシピ,雨宮 綴,白鷺出版,1520,トーハン,買切,19,998,2026-05-17,
'9783946785170,蒼穹のクロニクル 第11巻,小林健,白鷺文庫,680,日販,委託,13,492,2026-07-07,2026-12-09
'9783552450295,静かな駅の贈り物,風間 綴,翠嵐堂,860,大阪屋栗田,買切,12,533,2026-06-11,
'9783143742068,くまと願いの種のプレゼント,岡田結衣,蒼穹書房,1500,大阪屋栗田,買切,4,1117,2026-06-29,
'9784580996595,観葉植物のコツ,林陸,緑陰出版,1430,トーハン,委託,3,1014,2026-06-26,2026-12-13
'9789520533076,ペンギンと願いの種のものがたり,前田誠,清流出版,1080,大阪屋栗田,買切,5,739,2026-05-28,
'9784029349852,誰も知らない電話のノート,冬野 律,翠嵐堂,840,地方・小出版流通センター,買切,4,624,2026-05-16,
'9784793494239,たぬきと秘密の地図の冒険,中村隆,朝霧出版,1280,トーハン,買切,18,868,2026-07-03,
'9786717391464,忘れられた約束のうた,松本誠,蒼穹堂,780,大阪屋栗田,買切,15,578,2026-06-02,
'9785356895555,図解でわかる日本史,西村葵,茜色出版社,900,日販,委託,18,664,2026-05-13,2026-08-02
'9786596097990,はじめての掃除,小林詩織,銀河出版,1620,大阪屋栗田,買切,6,1022,2026-05-21,
'9787065617565,遠い電話の迷宮,雨宮 律,青葉出版社,850,トーハン,買切,13,575,2026-06-20,
'9783238771669,1分でわかるサブスク経営,石川誠,蒼穹書房,1710,大阪屋栗田,買切,19,1246,2026-05-31,
'9786453529794,2026年度版 基本情報技術者試験 完全対策,西村一郎,青葉館,2280,トーハン,買切,1,1452,2026-07-12,
'9782531521643,図解でわかるAIの未来,水無月 碧,銀河出版,970,トーハン,買切,18,663,2026-06-22,
'9783977779353,3分でわかるブランディング,田中茜,白鷺出版,1640,日販,買切,5,1185,2026-07-10,
'9788897727811,15分でわかる営業力,坂本太郎,清流出版社,1790,地方・小出版流通センター,買切,16,1246,2026-06-17,
'9789835847059,図解でわかる脳科学,渡辺楓,茜色出版社,1070,地方・小出版流通センター,買切,15,718,2026-06-12,
'9783222632976,2026年度版 英検準1級 完全対策,西村陸,茜色出版社,1970,トーハン,買切,14,1379,2026-05-21,
'9787078673787,竜と鍛冶屋 第17巻,鈴木楓,翠嵐出版社,670,大阪屋栗田,買切,12,430,2026-06-18,
'9787828579444,うさぎと小さな灯りのプレゼント,風間 碧,陽光舎,1050,トーハン,委託,20,670,2026-05-31,2026-05-24
'9788468279046,影絵の国のアリス 第6巻,加藤湊,翠嵐館,500,トーハン,買切,17,315,2026-05-12,
'9785066286629,瀬戸内紀行 写真集,佐藤凛,朝霧出版社,4350,日販,買切,14,2802,2026-05-05,
'9785252990897,雨音レコード 第1巻,吉田隆,清流出版社,600,日販,買切,12,419,2026-06-24,
'9786098818130,はじめてのカメラ,鈴木大輔,青葉出版社,1370,地方・小出版流通センター,買切,2,908,2026-05-20,
'9786136269115,鉄輪のワルツ 第1巻,太田悠真,翠嵐舎,570,日販,買切,2,399,2026-04-22,
'9788650544815,今日からできる掃除,清水一郎,翠嵐堂,1540,トーハン,買切,16,1148,2026-05-19,
'9789171881052,立山黒部を歩く,斎藤茜,蒼穹書房,3330,地方・小出版流通センター,買切,20,2341,2026-06-16,
'9782651324063,できる人の人的資本経営,柴田涼,蒼穹書房,1470,トーハン,買切,12,1064,2026-05-16,
'9782769254115,雨上がりの庭の始まり,霧島 蒼,朝霧出版社,850,トーハン,買切,3,587,2026-06-13,
'9785883770905,刀と花 第14巻,星野 碧,青葉出版社,660,トーハン,委託,19,405,2026-06-19,2026-10-30
'9784303119812,ITパスポート試験 完全対策,加藤大輔,丘上館,2050,地方・小出版流通センター,買切,5,1394,2026-07-06,
'9788084518796,発酵食の基本,斎藤凛,緑陰出版,1400,日販,委託,13,889,2026-06-13,2026-11-27
'9781896595252,灰色ドミノ 第14巻,雨宮 律,翠嵐舎,490,地方・小出版流通センター,買切,20,347,2026-06-29,
'9786533393734,百鬼夜行堂 第5巻,高橋浩二,茜色出版社,480,日販,買切,14,310,2026-06-13,
'9789175663791,尾道を歩く,長谷川楓,朝霧出版,3970,大阪屋栗田,買切,13,2522,2026-05-25,
'9782924216743,静かな図書館の行方,太田湊,白鷺文庫,690,日販,買切,17,517,2026-06-28,
'9781838021085,できる人のサブスク経営,遠藤詩織,翠嵐堂,1820,トーハン,買切,14,1285,2026-05-05,
'9784742269956,リーダーシップ思考,日向 楓,丘上出版社,1660,大阪屋栗田,買切,5,1237,2026-07-09,
'9788704477397,深夜の港の迷宮,福田茜,若草出版社,860,地方・小出版流通センター,買切,13,533,2026-07-14,
'9785897818822,毎日の発酵食レシピ,雨宮 綴,白鷺文庫,1370,地方・小出版流通センター,委託,16,1020,2026-04-29,2026-08-05
'9784502703713,図解 ロジカルシンキング入門,林健,銀河舎,1810,大阪屋栗田,買切,4,1184,2026-06-04,
'9785803100959,一気にわかる天文学,夜守 碧,朝霧出版,1000,日販,買切,14,646,2026-07-10,
'9784220833716,脳科学の謎,林さくら,丘上館,1110,日販,買切,15,824,2026-06-18,
'9784849113664,蒼穹のクロニクル 第1巻,石川蒼,青葉出版社,630,大阪屋栗田,買切,17,407,2026-05-21,
'9781232402572,終電サーカス 第11巻,渡辺誠,翠嵐舎,640,大阪屋栗田,買切,5,465,2026-07-07,
'9788912935092,たぬきと星空のたび,雨宮 綴,丘上出版社,1450,日販,買切,8,999,2026-07-03,
'9786356692038,図解でわかる日本史,高橋美咲,丘上出版社,1070,トーハン,買切,10,735,2026-05-04,
'9788088275220,能登を歩く,渡辺陽子,翠嵐館,4080,大阪屋栗田,委託,9,2644,2026-06-20,2026-11-10
'9780567739452,記憶の中の約束の行方,小林太郎,朝霧出版社,750,トーハン,買切,17,548,2026-04-18,
'9781755685261,交渉術思考,鈴木凛,朝霧出版社,1780,トーハン,委託,8,1104,2026-06-28,2026-10-16
'9785242066700,図解 DX戦略入門,三浦涼,清流出版社,1790,地方・小出版流通センター,委託,2,1337,2026-06-07,2026-10-13
'9782134077912,鉄輪のワルツ 第4巻,堀内太郎,白鷺出版,490,日販,買切,4,318,2026-06-18,
'9785278407072,哲学全史,橋本一郎,蒼穹書房,860,日販,買切,14,634,2026-04-28,
'9780566961045,3分でわかるDX戦略,日向 楓,翠嵐堂,1720,大阪屋栗田,委託,6,1271,2026-06-28,2026-11-13
'9785727021972,5分でわかる交渉術,伊藤太郎,清流出版社,1620,日販,委託,9,1105,2026-05-20,2026-11-13
'9782553978906,感染症の謎,吉田真央,朝霧出版,850,大阪屋栗田,委託,3,554,2026-07-04,2026-08-23
'9782890485402,静かな本屋の始まり,藤井陸,翠嵐舎,810,トーハン,委託,3,563,2026-07-04,2026-12-21
'9785061253923,一気にわかる宇宙,松本楓,銀河出版,890,大阪屋栗田,買切,6,559,2026-06-05,
'9787022373206,チーム運営大全,菅原蒼,翠嵐館,1540,トーハン,買切,16,1128,2026-06-07,
'9788782490233,5分でわかるDX戦略,遠藤大輔,緑陰出版,1650,地方・小出版流通センター,委託,10,1205,2026-05-03,2026-07-20
'9785172795169,水彩画のコツ,高橋陸,翠嵐館,1490,トーハン,買切,18,956,2026-05-24,
'9786100364358,気候変動の謎,福田詩織,緑陰出版,980,大阪屋栗田,委託,12,726,2026-06-14,2026-08-16
'9784504622029,古びた花束の続き,石川凛,翠嵐舎,740,大阪屋栗田,委託,3,486,2026-05-05,2026-09-27
'9784389589714,図解 マーケティング入門,菅原一郎,銀河出版,1740,大阪屋栗田,買切,13,1285,2026-04-28,
'9786072061873,針と糸の魔女 第12巻,日向 湊,翠嵐堂,550,大阪屋栗田,買切,3,383,2026-05-21,
'9787346927598,今日からできる発酵食,井上湊,白鷺出版,1210,日販,買切,15,772,2026-07-03,
'9784200082028,富士五湖、季節の情景,柴田詩織,白鷺出版,4250,大阪屋栗田,買切,15,3090,2026-05-20,
'9782531796171,たぬきと魔法のスープのたび,坂本杏,白鷺出版,1390,地方・小出版流通センター,買切,13,997,2026-05-07,
'9788105888235,百鬼夜行堂 第17巻,坂本太郎,銀河出版社,510,トーハン,委託,18,328,2026-06-30,2026-11-15
'9789717020211,灰色ドミノ 第4巻,村上大輔,銀河出版社,450,大阪屋栗田,買切,17,329,2026-07-12,
'9786775554030,星屑ダイナー 第2巻,吉田蒼,翠嵐舎,600,大阪屋栗田,買切,11,427,2026-07-03,
'9784971075007,ひつじと不思議な森のプレゼント,斎藤涼,朝霧出版社,1250,地方・小出版流通センター,委託,9,791,2026-06-27,2026-10-24
'9781291680812,図解でわかる戦国時代,木村悠真,翠嵐出版社,1140,日販,買切,20,809,2026-05-24,
'9780942355246,図解でわかる日本の祭り,橋本蒼太,朝霧出版,890,日販,委託,6,594,2026-05-13,2026-10-30
'9783921390351,2026年度版 FP技能検定2級 完全対策,日向 帳,清流出版,2220,地方・小出版流通センター,買切,7,1441,2026-06-28,
'9786289421521,天球儀の街 第7巻,山口由美,翠嵐出版社,520,トーハン,買切,16,318,2026-07-02,
'9788298555556,常備菜の基本,橋本誠,清流出版,1490,大阪屋栗田,買切,7,1039,2026-05-31,
'9788111852138,竜と鍛冶屋 第1巻,西村凛,銀河出版社,550,日販,買切,15,355,2026-05-04,
'9786412902415,はじめてのキャンプ料理,清水蒼太,蒼穹堂,1460,大阪屋栗田,買切,11,1091,2026-06-04,
'9783291209796,生成AI活用思考,近藤美咲,朝霧出版社,1490,トーハン,買切,1,938,2026-06-01,
'9787619576454,2027年度版 宅建士試験 完全対策,坂本さくら,朝霧出版,1730,地方・小出版流通センター,買切,17,1072,2026-06-09,
'9782445146178,深海探偵局 第14巻,松本健,蒼穹堂,490,日販,委託,3,338,2026-07-11,2026-10-17
'9789675838415,影絵の国のアリス 第4巻,福田誠,翠嵐出版社,520,大阪屋栗田,買切,9,334,2026-06-13,
'9782140303845,今日からできるおつまみ,柴田一郎,満月舎,1290,トーハン,買切,6,863,2026-05-16,
'9789768030962,進化論の謎,斎藤太郎,青葉館,1090,大阪屋栗田,買切,1,769,2026-04-15,
'9788676126507,誰も知らない喫茶店の約束事,藤井美咲,青葉出版社,900,トーハン,買切,19,587,2026-04-23,
'9782232978746,今日からできる収納術,村上杏,翠嵐館,1240,日販,買切,4,837,2026-07-03,
'9781231068786,令和幽霊譚 第13巻,小林茜,青葉館,630,日販,買切,15,421,2026-06-22,
'9783283651275,はじめてのぬか漬け,雨宮 楓,朝霧出版社,1350,日販,買切,15,860,2026-07-08,
'9782846211727,交渉術の教科書,岡田由美,朝霧出版社,1810,地方・小出版流通センター,委託,1,1317,2026-07-06,2026-08-15
'9788710743950,1分でわかる時間管理,山田さくら,清流出版,1560,地方・小出版流通センター,買切,17,969,2026-06-01,
'9786155319365,ぞうと秘密の地図の冒険,三浦陽子,翠嵐舎,1410,大阪屋栗田,買切,3,924,2026-05-14,
'9781252625838,砂上のグランドライン 第10巻,岡田茜,陽光舎,610,地方・小出版流通センター,買切,5,416,2026-07-04,
'9787623057451,スパイスカレーの基本,村上健,丘上出版社,1360,大阪屋栗田,買切,8,824,2026-04-26,
'9781230546254,くまと雲のパン屋のひみつ,青木陽子,清流出版,1340,日販,委託,7,965,2026-06-30,2026-09-19
'9781997331766,眩しい喫茶店のうた,渡辺楓,朝霧出版社,850,大阪屋栗田,買切,20,600,2026-07-10,
'9787572998225,プレゼン術思考,冬野 帳,丘上出版社,1830,日販,買切,1,1322,2026-04-18,
'9786751357648,AIの未来の謎,長谷川陽子,白鷺文庫,1110,日販,買切,10,792,2026-04-21,
'9787309997743,眩しい坂道の贈り物,堀内翔太,蒼穹書房,770,大阪屋栗田,買切,1,523,2026-05-03,
'9783332308716,記憶の中の約束の続き,高橋詩織,白鷺文庫,930,日販,買切,2,682,2026-05-10,
'9783966831666,針と糸の魔女 第10巻,斎藤蒼太,若草出版社,630,大阪屋栗田,委託,10,411,2026-06-26,2026-11-23
'9786518229645,雨上がりの電話の行方,井上浩二,青葉館,910,大阪屋栗田,買切,3,654,2026-05-14,
'9788837037642,砂上のグランドライン 第8巻,斎藤蒼太,清流出版,570,大阪屋栗田,委託,6,350,2026-05-16,2026-11-06
'9784877225315,一人暮らしの基本,林由美,青葉館,1410,トーハン,買切,16,1051,2026-06-22,
'9782197669093,最後の約束の約束事,木村太郎,翠嵐館,860,日販,委託,19,612,2026-05-06,2026-08-24
'9781011773282,忘れられた窓辺の始まり,林翔太,若草出版社,650,トーハン,買切,7,464,2026-06-07,
'9789052305097,儚い鍵の行方,青木由美,満月舎,780,大阪屋栗田,委託,13,516,2026-06-10,2026-07-30
'9787129591015,図解 資本主義入門,斎藤さくら,朝霧出版社,1680,大阪屋栗田,買切,7,1071,2026-07-10,
'9787835997989,一気にわかる民俗学,水無月 蒼,白鷺文庫,1070,トーハン,買切,12,756,2026-05-31,
'9786610416066,うさぎと不思議な森のたび,堀内花子,陽光舎,1100,大阪屋栗田,買切,17,779,2026-06-03,
'9784467731714,誰も知らない灯台の使者,前田栞,翠嵐舎,690,トーハン,委託,11,432,2026-06-23,2026-07-24
'9783066671605,遠い約束の迷宮,太田浩二,蒼穹堂,620,トーハン,買切,2,420,2026-06-01,
'9784074375646,儚い傘の物語,鈴木茜,銀河出版社,680,大阪屋栗田,委託,6,473,2026-04-20,2026-07-05
'9784138974174,ひつじと願いの種の冒険,月城 蒼,蒼穹堂,1370,日販,委託,14,887,2026-06-27,2026-06-30
'9781957389950,毎日の時短家事レシピ,坂本詩織,翠嵐館,1300,日販,買切,14,915,2026-05-29,
'9787350358128,英検2級 完全対策,村上翔太,清流出版社,2440,日販,委託,9,1725,2026-05-29,2026-09-05
'9788506204542,遠い港のノート,山口大輔,蒼穹堂,790,大阪屋栗田,委託,9,510,2026-06-28,2026-12-21
'9787982986614,今日からできるぬか漬け,太田浩二,蒼穹書房,1280,日販,買切,4,903,2026-05-23,
'9783368265106,星屑ダイナー 第16巻,雨宮 楓,青葉館,610,大阪屋栗田,委託,19,435,2026-06-13,2026-12-06
'9784605853339,たぬきと空とぶ本のたび,青木浩二,緑陰出版,1380,地方・小出版流通センター,買切,3,1021,2026-04-20,
'9782955968017,キャンプ料理の基本,伊藤蒼,朝霧出版社,1240,地方・小出版流通センター,買切,6,814,2026-07-13,
'9781051414169,十六夜のバトン 第18巻,中村一郎,翠嵐館,480,地方・小出版流通センター,買切,1,331,2026-07-08,
'9784335224959,終電サーカス 第15巻,木村楓,清流出版社,570,日販,買切,9,424,2026-05-01,
'9782446578152,令和幽霊譚 第9巻,坂本杏,清流出版,650,トーハン,買切,16,393,2026-05-16,
'9785147321669,AIの未来全史,藤田陽子,白鷺文庫,1100,トーハン,買切,18,815,2026-06-14,
'9788957815052,図解 副業戦略入門,高橋翔太,銀河出版社,1660,地方・小出版流通センター,買切,17,1121,2026-04-23,
'9785393913953,天球儀の街 第12巻,鈴木茜,茜色出版社,490,大阪屋栗田,委託,19,359,2026-05-07,2026-10-08
'9789821033190,深夜の坂道の結末,村上悠真,陽光舎,830,地方・小出版流通センター,買切,7,539,2026-07-07,
'9786240603805,忘れられた橋の使者,山口蒼太,朝霧出版,660,トーハン,買切,6,483,2026-06-19,
'9785862008883,小さな傘の続き,青木陸,白鷺出版,900,地方・小出版流通センター,買切,14,665,2026-05-12,
'9788438828717,2025年度版 基本情報技術者試験 完全対策,加藤栞,銀河出版,2530,日販,委託,9,1540,2026-06-29,2026-10-27
'9780830191956,2025年度版 登録販売者試験 完全対策,西村健,清流出版,2490,トーハン,買切,11,1754,2026-05-25,
'9786740628025,百鬼夜行堂 第10巻,風間 蒼,陽光舎,640,トーハン,買切,1,440,2026-07-11,
'9785940633990,百鬼夜行堂 第16巻,星野 帳,翠嵐館,530,地方・小出版流通センター,委託,1,348,2026-06-24,2026-08-19
'9780438075405,遠い旅のノート,遠藤さくら,青葉出版社,730,日販,委託,13,466,2026-06-04,2026-11-22
'9785222469552,天球儀の街 第5巻,山口太郎,清流出版,530,トーハン,買切,1,376,2026-04-26,
'9789498207405,銀色のカルテ 第15巻,鈴木一郎,翠嵐舎,570,日販,買切,14,418,2026-07-04,
'9781289323257,儚い町の始まり,田中結衣,朝霧出版,630,大阪屋栗田,委託,13,387,2026-07-13,2026-12-02
'9783172010466,終電サーカス 第4巻,中村蒼,銀河出版,660,大阪屋栗田,買切,12,416,2026-05-27,
'9780123410702,10分でわかる営業力,福田大輔,銀河舎,1500,大阪屋栗田,買切,12,1110,2026-05-11,
'9787976775187,ITパスポート試験 完全対策,朝比奈 湊,若草出版社,2300,大阪屋栗田,買切,18,1495,2026-05-24,
'9786962399703,時間管理の教科書,山口蒼太,翠嵐出版社,1530,トーハン,委託,3,981,2026-06-25,2026-12-01
'9788824324199,能登紀行 写真集,藤井花子,翠嵐出版社,3850,地方・小出版流通センター,買切,9,2819,2026-05-11,
'9786991990490,はじめての常備菜,加藤さくら,銀河出版,1360,トーハン,買切,7,925,2026-05-10,
'9780113444090,雨音レコード 第15巻,橋本一郎,丘上館,480,トーハン,買切,6,351,2026-05-22,
'9780412648489,できる人のロジカルシンキング,渡辺凛,陽光舎,1550,日販,委託,12,1091,2026-06-19,2026-09-05
'9788096917907,雨上がりの鍵のうた,三浦茜,白鷺文庫,850,日販,委託,9,570,2026-05-25,2026-05-19
'9780501089193,小さな窓辺の始まり,鈴木蒼太,朝霧出版社,900,トーハン,買切,13,668,2026-05-17,
'9788097201203,英検準2級 完全対策,遠藤蒼,青葉出版社,1860,日販,買切,18,1183,2026-05-04,
'9788864286211,DX戦略大全,松本茜,白鷺文庫,1410,トーハン,委託,18,994,2026-06-01,2026-10-09
'9781002069585,伊勢志摩、季節の情景,村上大輔,丘上出版社,3920,トーハン,買切,5,2426,2026-07-04,
'9784850703274,深夜の町の結末,加藤栞,翠嵐堂,620,大阪屋栗田,委託,17,386,2026-07-11,2026-11-08
'9781244302204,蒼穹のクロニクル 第2巻,太田誠,青葉出版社,580,地方・小出版流通センター,委託,5,412,2026-05-05,2026-10-06
'9785113783842,眩しい電話の始まり,藤田浩二,緑陰出版,940,トーハン,委託,20,673,2026-06-19,2026-08-04
'9788813125066,できる人のサブスク経営,長谷川さくら,朝霧出版,1620,日販,委託,19,1124,2026-05-17,2026-08-08
'9786851057127,毎日の観葉植物レシピ,佐藤栞,若草出版社,1300,大阪屋栗田,委託,19,842,2026-06-26,2026-10-02
'9781592440443,記憶の中の旅の約束事,朝比奈 燈,翠嵐館,950,トーハン,買切,12,600,2026-04-26,
'9789995535391,2025年度版 宅建士試験 完全対策,小林詩織,蒼穹書房,1610,大阪屋栗田,買切,6,1132,2026-05-01,
'9780854284481,深夜の図書館の約束事,藤井陸,茜色出版社,910,大阪屋栗田,買切,8,623,2026-05-01,
'9784273045319,2027年度版 英検3級 完全対策,中村蒼太,銀河出版,1670,大阪屋栗田,買切,16,1103,2026-06-15,
'9787083484118,キャンプ料理の基本,菅原誠,清流出版,1550,大阪屋栗田,買切,12,1047,2026-04-24,
'9780238512230,できる人のサブスク経営,斎藤真央,翠嵐出版社,1500,トーハン,買切,18,1120,2026-07-13,
'9788632263420,たぬきと虹色の傘のたび,岡田蒼太,翠嵐堂,1170,日販,買切,2,791,2026-07-10,
'9785161302774,令和幽霊譚 第1巻,林結衣,蒼穹書房,530,大阪屋栗田,買切,20,343,2026-07-10,
